1000, 0.02724, 0.005
2000, 0.01927, 0.005
3000, 0.01835, 0.005
4000, 0.01779, 0.005
5000, 0.01707, 0.005
6000, 0.01682, 0.005
7000, 0.01566, 0.005
8000, 0.01557, 0.005
9000, 0.01533, 0.005
10000, 0.01476, 0.005
11000, 0.01512, 0.02
12000, 0.01388, 0.02
13000, 0.01305, 0.02
14000, 0.01208, 0.02
15000, 0.01174, 0.02
16000, 0.01083, 0.02
17000, 0.01076, 0.02
18000, 0.01038, 0.02
19000, 0.00944, 0.02
20000, 0.00916, 0.02
21000, 0.00903, 0.02
22000, 0.00860, 0.02
23000, 0.00833, 0.02
24000, 0.00801, 0.02
25000, 0.00789, 0.02
26000, 0.00751, 0.02
27000, 0.00753, 0.02
28000, 0.00712, 0.02
29000, 0.00700, 0.02
30000, 0.00690, 0.02
31000, 0.00664, 0.02
32000, 0.00651, 0.02
33000, 0.00641, 0.02
34000, 0.00620, 0.02
35000, 0.00612, 0.02
36000, 0.00590, 0.02
37000, 0.00588, 0.02
38000, 0.00580, 0.02
39000, 0.00566, 0.02
40000, 0.00560, 0.02
41000, 0.00540, 0.02
42000, 0.00541, 0.02
43000, 0.00517, 0.02
44000, 0.00520, 0.02
45000, 0.00518, 0.02
46000, 0.00494, 0.02
47000, 0.00509, 0.02
48000, 0.00483, 0.02
49000, 0.00471, 0.02
50000, 0.00467, 0.02
51000, 0.00468, 0.02
52000, 0.00462, 0.02
53000, 0.00446, 0.02
54000, 0.00454, 0.02
55000, 0.00459, 0.02
56000, 0.00447, 0.02
57000, 0.00433, 0.02
58000, 0.00436, 0.02
59000, 0.00424, 0.02
60000, 0.00423, 0.02
61000, 0.00418, 0.02
62000, 0.00417, 0.02
63000, 0.00407, 0.02
64000, 0.00407, 0.02
65000, 0.00405, 0.02
66000, 0.00399, 0.02
67000, 0.00395, 0.02
68000, 0.00392, 0.02
69000, 0.00387, 0.02
70000, 0.00385, 0.02
71000, 0.00383, 0.02
72000, 0.00380, 0.02
73000, 0.00376, 0.02
74000, 0.00376, 0.02
75000, 0.00363, 0.02
76000, 0.00368, 0.02
77000, 0.00368, 0.02
78000, 0.00356, 0.02
79000, 0.00361, 0.02
80000, 0.00354, 0.02
81000, 0.00352, 0.02
82000, 0.00353, 0.02
83000, 0.00352, 0.02
84000, 0.00345, 0.02
85000, 0.00341, 0.02
86000, 0.00336, 0.02
87000, 0.00338, 0.02
88000, 0.00333, 0.02
89000, 0.00340, 0.02
90000, 0.00337, 0.02
91000, 0.00334, 0.02
92000, 0.00332, 0.02
93000, 0.00321, 0.02
94000, 0.00328, 0.02
95000, 0.00323, 0.02
96000, 0.00325, 0.02
97000, 0.00331, 0.02
98000, 0.00311, 0.02
99000, 0.00319, 0.02
100000, 0.00309, 0.02
